Package,Rate Model,Bank,MSRP,Invoice,Formula,Buying,Default Rebates,Nondefault Rebates,Rate Style,MF 12,RP 12,Live 12,MF 24,RP 24,Live 24,MF 27,RP 27,Live 27,MF 30,RP 30,Live 30,MF 33,RP 33,Live 33,MF 36,RP 36,Live 36,MF 39,RP 39,Live 39,MF 42,RP 42,Live 42,MF 48,RP 48,Live 48,Package Id,Bank Id
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","157345.00","149587.00","0.9506943341065","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67192","2"
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","150750.00","140897.00","0.9346401326699","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67193","2"
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","152045.00","144549.00","0.9506988062744","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67194","2"
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","154155.00","146555.00","0.9506989718140","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67195","2"
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","155165.00","147515.00","0.9506976444430","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67196","2"
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","156305.00","148599.00","0.9506989539682","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67197","2"
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","157805.00","147458.00","0.9344317353696","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67198","2"
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","158710.00","148300.00","0.9344086699010","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67199","2"
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","159360.00","151503.00","0.9506965361445","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67200","2"
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","160780.00","150225.00","0.9343512874735","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67201","2"
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","165070.00","154215.00","0.9342400193857","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67202","2"
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","171100.00","159823.00","0.9340911747516","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67203","2"
"2024 Mercedes AMG EQS Sedan","AMG EQS","Mercedes Benz Financial","152855.00","142855.00","0.9345785221288","-3000.00","","","AMGEQSV4 4dr Sdn EQS AMG 4MATIC+","","","","0.00035","54.00","True","0.00035","52.00","True","0.00035","50.00","True","0.00035","48.00","True","0.00035","46.00","True","0.00035","43.00","True","0.00035","41.00","True","0.00035","37.00","True","67204","2"
"2025 Mercedes AMG GT43 2Door Coupe RWD Coupe","AMG GT43 2Door Coupe RWD","Mercedes Benz Financial","118950.00","111324.00","0.9358890290037","0.00","","","AMGGT43 2dr Cpe 43","","","","0.00335","59.00","True","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","53.00","True","0.00335","52.00","True","0.00335","50.00","True","78814","2"
"2025 Mercedes AMG GT43 2Door Coupe RWD Coupe","AMG GT43 2Door Coupe RWD","Mercedes Benz Financial","115105.00","107748.00","0.9360844446375","0.00","","","AMGGT43 2dr Cpe 43","","","","0.00335","59.00","True","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","53.00","True","0.00335","52.00","True","0.00335","50.00","True","79766","2"
"2025 Mercedes AMG GT43 2Door Coupe RWD Coupe","AMG GT43 2Door Coupe RWD","Mercedes Benz Financial","110145.00","103135.00","0.9363566208180","0.00","","","AMGGT43 2dr Cpe 43","","","","0.00335","59.00","True","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","53.00","True","0.00335","52.00","True","0.00335","50.00","True","79767","2"
"2025 Mercedes AMG GT43 2Door Coupe RWD Coupe","AMG GT43 2Door Coupe RWD","Mercedes Benz Financial","112095.00","104948.00","0.9362415808019","0.00","","","AMGGT43 2dr Cpe 43","","","","0.00335","59.00","True","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","53.00","True","0.00335","52.00","True","0.00335","50.00","True","79768","2"
"2025 Mercedes AMG GT43 2Door Coupe RWD Coupe","AMG GT43 2Door Coupe RWD","Mercedes Benz Financial","113260.00","106032.00","0.9361822355641","0.00","","","AMGGT43 2dr Cpe 43","","","","0.00335","59.00","True","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","53.00","True","0.00335","52.00","True","0.00335","50.00","True","79769","2"
"2025 Mercedes AMG GT43 2Door Coupe RWD Coupe","AMG GT43 2Door Coupe RWD","Mercedes Benz Financial","117250.00","109743.00","0.9359744136460","0.00","","","AMGGT43 2dr Cpe 43","","","","0.00335","59.00","True","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","53.00","True","0.00335","52.00","True","0.00335","50.00","True","79770","2"
"2025 Mercedes AMG GT43 2Door Coupe RWD Coupe","AMG GT43 2Door Coupe RWD","Mercedes Benz Financial","118450.00","110859.00","0.9359138877163","0.00","","","AMGGT43 2dr Cpe 43","","","","0.00335","59.00","True","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","53.00","True","0.00335","52.00","True","0.00335","50.00","True","79771","2"
"2025 Mercedes AMG GT43 2Door Coupe RWD Coupe","AMG GT43 2Door Coupe RWD","Mercedes Benz Financial","119260.00","111612.00","0.9358712057689","0.00","","","AMGGT43 2dr Cpe 43","","","","0.00335","59.00","True","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","53.00","True","0.00335","52.00","True","0.00335","50.00","True","79772","2"
"2025 Mercedes AMG GT43 2Door Coupe RWD Coupe","AMG GT43 2Door Coupe RWD","Mercedes Benz Financial","121220.00","113435.00","0.9357779244349","0.00","","","AMGGT43 2dr Cpe 43","","","","0.00335","59.00","True","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","53.00","True","0.00335","52.00","True","0.00335","50.00","True","79773","2"
"2025 Mercedes AMG GT43 2Door Coupe RWD Coupe","AMG GT43 2Door Coupe RWD","Mercedes Benz Financial","123550.00","115602.00","0.9356697693241","0.00","","","AMGGT43 2dr Cpe 43","","","","0.00335","59.00","True","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","53.00","True","0.00335","52.00","True","0.00335","50.00","True","79774","2"
"2025 Mercedes AMG GT43 2Door Coupe RWD Coupe","AMG GT43 2Door Coupe RWD","Mercedes Benz Financial","128345.00","120061.00","0.9354552183567","0.00","","","AMGGT43 2dr Cpe 43","","","","0.00335","59.00","True","0.00335","58.00","True","0.00335","57.00","True","0.00335","56.00","True","0.00335","55.00","True","0.00335","53.00","True","0.00335","52.00","True","0.00335","50.00","True","79775","2"
